int Index	int Constellation	string Constellation Name	int Stars Subgroup	int Star Number	string Star Name	float Star Size	Color Star Color 	V2 Cel Coordinates(hr,Degree)	V2 Cel Coordinates (Normalized)	 float radius	float theta	float phi +	V3 Cartesian
0	0	Constellation_Andromeda	0	0	Star_Sphere	1.1	RGBA(1.000, 1.000, 1.000, 1.000)	(0.13974, 29.07855)	(-0.011645, 0.323095)	400	1.06328	0.03658385	(349.3478, 12.78619, 194.4033)
1	0	Constellation_Andromeda	0	1	Star_Sphere (1)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(2.06553, 42.3225)	(-0.1721275, 0.47025)	400	0.8321294	0.5407545	(253.5497, 152.2454, 269.3212)
2	0	Constellation_Andromeda	0	2	Star_Sphere (2)	0.75	RGBA(1.000, 1.000, 1.000, 1.000)	(0.6558, 30.84255)	(-0.05465, 0.342695)	400	1.032492	0.1716881	(338.3826, 58.67388, 205.0722)
3	0	Constellation_Andromeda	0	3	Star_Sphere (3)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(0.6432301, 29.3013)	(-0.0536025, 0.32557)	400	1.059392	0.1683972	(343.8891, 58.46365, 195.7609)
4	0	Constellation_Andromeda	0	4	Star_Sphere (4)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(0.78852, 24.2505)	(-0.06571, 0.26945)	400	1.147545	0.2064341	(356.96, 74.75361, 164.2907)
5	0	Constellation_Andromeda	0	5	Star_Sphere (5)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(0.9535201, 23.3991)	(-0.07946, 0.25999)	400	1.162405	0.249631	(355.7255, 90.6918, 158.8534)
6	0	Constellation_Andromeda	0	6	Star_Sphere (6)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(0.61458, 33.69645)	(-0.051215, 0.374405)	400	0.9826823	0.1608967	(328.497, 53.31494, 221.9172)
7	0	Constellation_Andromeda	0	7	Star_Sphere (7)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(23.63514, 43.2666)	(0.030405, 0.48074)	400	0.8156517	6.187665	(289.9412, -27.77968, 274.1576)
8	0	Constellation_Andromeda	0	8	Star_Sphere (8)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(23.03187, 42.3171)	(0.0806775, 0.47019)	400	0.8322236	6.02973	(286.3227, -74.165, 269.2933)
9	0	Constellation_Andromeda	0	9	Star_Sphere (9)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(23.67336, 44.32905)	(0.02722, 0.492545)	400	0.7971085	6.197671	(285.0898, -24.43874, 279.5112)
10	0	Constellation_Andromeda	0	10	Star_Sphere (10)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(23.62635, 46.44855)	(0.0311375, 0.516095)	400	0.7601162	6.185364	(274.2847, -26.91673, 289.9024)
11	0	Constellation_Andromeda	0	11	Star_Sphere (11)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(0.94584, 38.46825)	(-0.07882, 0.427425)	400	0.8993987	0.2476203	(303.6287, 76.75995, 248.8324)
12	0	Constellation_Andromeda	0	12	Star_Sphere (12)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(0.83013, 41.06475)	(-0.0691775, 0.456275)	400	0.8540812	0.2173275	(294.4929, 65.02845, 262.7646)
13	0	Constellation_Andromeda	0	13	Star_Sphere (13)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(1.15845, 47.2356)	(-0.0965375, 0.52484)	400	0.7463796	0.3032815	(259.199, 81.11256, 293.6607)
14	0	Constellation_Andromeda	0	14	Star_Sphere (14)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(1.63347, 48.6162)	(-0.1361225, 0.54018)	400	0.7222835	0.4276415	(240.6261, 109.6701, 300.1192)
15	0	Constellation_Andromeda	0	15	Star_Sphere (15)	1	RGBA(1.000, 1.000, 1.000, 1.000)	(1.16181, 35.60895)	(-0.0968175, 0.395655)	400	0.9493029	0.3041612	(310.2766, 97.39629, 232.9)
16	0	Constellation_Andromeda	1	16	Star_Sphere (16)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(0.5028, 29.74095)	(-0.0419, 0.330455)	400	1.051719	0.1316327	(344.3063, 45.58558, 198.4317)
17	0	Constellation_Andromeda	1	17	Star_Sphere (17)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(0.34068, 30.93885)	(-0.02839, 0.343765)	400	1.030812	0.08918982	(341.7229, 30.55928, 205.6492)
18	0	Constellation_Andromeda	1	18	Star_Sphere (18)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(0.31074, 31.50135)	(-0.025895, 0.350015)	400	1.020994	0.08135154	(339.9232, 27.71444, 209.0074)
19	0	Constellation_Andromeda	1	19	Star_Sphere (19)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(0.34686, 32.92965)	(-0.028905, 0.365885)	400	0.9960655	0.09080774	(334.3522, 30.4455, 217.4436)
20	0	Constellation_Andromeda	1	20	Star_Sphere (20)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(0.30561, 36.78435)	(-0.0254675, 0.408715)	400	0.9287883	0.08000851	(319.3332, 25.60403, 239.522)
21	0	Constellation_Andromeda	1	21	Star_Sphere (21)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(0.28521, 38.67345)	(-0.0237675, 0.429705)	400	0.8958173	0.0746678	(311.4179, 23.2962, 249.9524)
22	0	Constellation_Andromeda	1	22	Star_Sphere (22)	0.4	RGBA(1.000, 1.000, 1.000, 1.000)	(0.35289, 37.94895)	(-0.0294075, 0.421655)	400	0.9084622	0.09238639	(314.0785, 29.09941, 245.9836)
23	0	Constellation_Andromeda	1	23	Star_Sphere (23)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(0.62238, 35.3943)	(-0.051865, 0.39327)	400	0.9530492	0.1629387	(321.7552, 52.89532, 231.6801)
24	0	Constellation_Andromeda	1	24	Star_Sphere (24)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(0.97287, 33.9966)	(-0.0810725, 0.37774)	400	0.9774437	0.2546968	(320.9299, 83.55441, 223.6575)
25	0	Constellation_Andromeda	1	25	Star_Sphere (25)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(1.39725, 37.71675)	(-0.1164375, 0.419075)	400	0.9125149	0.3657992	(295.4831, 113.1813, 244.7033)
26	0	Constellation_Andromeda	1	26	Star_Sphere (26)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(1.57197, 37.2276)	(-0.1309975, 0.41364)	400	0.9210521	0.4115408	(291.9028, 127.4052, 241.9931)
27	0	Constellation_Andromeda	1	27	Star_Sphere (27)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(1.81035, 37.9449)	(-0.1508625, 0.42161)	400	0.9085329	0.4739485	(280.6709, 143.9682, 245.9613)
28	0	Constellation_Andromeda	1	28	Star_Sphere (28)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(1.93506, 37.24875)	(-0.161255, 0.413875)	400	0.920683	0.5065975	(278.4144, 154.4922, 242.1106)
29	0	Constellation_Andromeda	1	29	Star_Sphere (29)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(2.14173, 37.85445)	(-0.1784775, 0.420605)	400	0.9101115	0.5607036	(267.4695, 167.9522, 245.4631)
30	0	Constellation_Andromeda	1	30	Star_Sphere (30)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(2.18142, 39.03705)	(-0.181785, 0.433745)	400	0.8894713	0.5710944	(261.3912, 167.9474, 251.9291)
31	0	Constellation_Andromeda	1	31	Star_Sphere (31)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(2.38029, 41.40585)	(-0.1983575, 0.460065)	400	0.8481279	0.6231585	(243.6259, 175.091, 264.5554)
32	0	Constellation_Andromeda	1	32	Star_Sphere (32)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(2.22045, 44.2278)	(-0.1850375, 0.49142)	400	0.7988756	0.5813124	(239.548, 157.394, 279.0052)
33	0	Constellation_Andromeda	1	33	Star_Sphere (33)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(2.32203, 47.36206)	(-0.1935025, 0.5262451)	400	0.7441726	0.607906	(222.4044, 154.7504, 294.2595)
34	0	Constellation_Andromeda	1	34	Star_Sphere (34)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(2.40681, 49.99005)	(-0.2005675, 0.555445)	400	0.6983054	0.6301014	(207.7837, 151.5304, 306.3731)
35	0	Constellation_Andromeda	1	35	Star_Sphere (35)	0.4	RGBA(1.000, 1.000, 1.000, 1.000)	(2.42721, 50.26815)	(-0.2022675, 0.558535)	400	0.6934516	0.6354421	(205.7722, 151.7535, 307.6177)
36	0	Constellation_Andromeda	1	36	Star_Sphere (36)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(2.34939, 50.1561)	(-0.1957825, 0.55729)	400	0.6954072	0.6150689	(209.3119, 147.8769, 307.1172)
37	0	Constellation_Andromeda	1	37	Star_Sphere (37)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(2.22696, 51.05475)	(-0.18558, 0.567275)	400	0.6797229	0.5830168	(209.896, 138.4241, 311.0988)
38	0	Constellation_Andromeda	1	38	Star_Sphere (38)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(1.50168, 47.0025)	(-0.12514, 0.52225)	400	0.750448	0.3931389	(251.976, 104.5017, 292.5534)
39	0	Constellation_Andromeda	1	39	Star_Sphere (39)	0.4	RGBA(1.000, 1.000, 1.000, 1.000)	(1.46187, 45.39915)	(-0.1218225, 0.5044351)	400	0.7784316	0.3827167	(260.5458, 104.8869, 284.8063)
40	0	Constellation_Andromeda	1	40	Star_Sphere (40)	0.4	RGBA(1.000, 1.000, 1.000, 1.000)	(1.37292, 45.51795)	(-0.11441, 0.505755)	400	0.7763582	0.3594296	(262.3641, 98.58379, 285.388)
41	0	Constellation_Andromeda	1	41	Star_Sphere (41)	0.4	RGBA(1.000, 1.000, 1.000, 1.000)	(1.6569, 44.3844)	(-0.138075, 0.49316)	400	0.7961424	0.4337754	(259.39, 120.149, 279.7875)
42	0	Constellation_Andromeda	1	42	Star_Sphere (42)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(1.69674, 42.60825)	(-0.141395, 0.473425)	400	0.8271421	0.4442055	(265.829, 126.5156, 270.7928)
43	0	Constellation_Andromeda	1	43	Star_Sphere (43)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(1.67832, 43.29585)	(-0.13986, 0.481065)	400	0.8151411	0.4393832	(263.4759, 123.8408, 274.3063)
44	0	Constellation_Andromeda	1	44	Star_Sphere (44)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(1.61343, 41.39235)	(-0.1344525, 0.459915)	400	0.8483635	0.422395	(273.7057, 123.0165, 264.4847)
45	0	Constellation_Andromeda	1	45	Star_Sphere (45)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(1.67697, 40.5522)	(-0.1397475, 0.45058)	400	0.8630269	0.4390297	(275.1027, 129.187, 260.0562)
46	0	Constellation_Andromeda	1	46	Star_Sphere (46)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(1.43901, 43.4592)	(-0.1199175, 0.48288)	400	0.8122902	0.3767319	(269.9843, 106.8134, 275.1352)
47	0	Constellation_Andromeda	1	47	Star_Sphere (47)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(1.13403, 43.9335)	(-0.0945025, 0.48815)	400	0.8040121	0.2968884	(275.4561, 84.27031, 277.5292)
48	0	Constellation_Andromeda	1	48	Star_Sphere (48)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(1.00425, 44.6895)	(-0.0836875, 0.49655)	400	0.7908174	0.262912	(274.5995, 73.9063, 281.3058)
49	0	Constellation_Andromeda	1	49	Star_Sphere (49)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(1.04892, 41.3451)	(-0.08741, 0.45939)	400	0.8491881	0.2746066	(289.0462, 81.43124, 264.2372)
50	0	Constellation_Andromeda	1	50	Star_Sphere (50)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(1.173, 42.0885)	(-0.09775, 0.46765)	400	0.8362135	0.3070907	(282.9569, 89.73206, 268.1111)
51	0	Constellation_Andromeda	1	51	Star_Sphere (51)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(1.18647, 37.71045)	(-0.0988725, 0.419005)	400	0.9126248	0.3106171	(301.3014, 96.72018, 244.6685)
52	0	Constellation_Andromeda	1	52	Star_Sphere (52)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(0.38274, 38.7522)	(-0.031895, 0.43058)	400	0.8944429	0.1002011	(310.3795, 31.20487, 250.3814)
53	0	Constellation_Andromeda	1	53	Star_Sphere (53)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(0.6858, 39.4479)	(-0.05715, 0.43831)	400	0.8823006	0.179542	(303.916, 55.15966, 254.1505)
54	0	Constellation_Andromeda	1	54	Star_Sphere (54)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(0.22599, 41.0319)	(-0.0188325, 0.45591)	400	0.8546546	0.05916404	(301.2097, 17.84161, 262.5916)
55	0	Constellation_Andromeda	1	55	Star_Sphere (55)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(0.47046, 44.38215)	(-0.039205, 0.493135)	400	0.7961817	0.1231661	(283.7106, 35.12132, 279.7763)
56	0	Constellation_Andromeda	1	56	Star_Sphere (56)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(0.61281, 44.48295)	(-0.0510675, 0.494255)	400	0.7944224	0.1604333	(281.7188, 45.58887, 280.2788)
57	0	Constellation_Andromeda	1	57	Star_Sphere (57)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(0.17313, 46.06605)	(-0.0144275, 0.511845)	400	0.7667921	0.04532533	(277.2465, 12.5749, 288.056)
58	0	Constellation_Andromeda	1	58	Star_Sphere (58)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.76831, 46.4076)	(0.0193075, 0.51564)	400	0.7608309	6.222529	(275.3022, -16.71921, 289.7054)
59	0	Constellation_Andromeda	1	59	Star_Sphere (59)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.92551, 47.34945)	(0.0062075, 0.526105)	400	0.7443925	6.263684	(270.9585, -5.284641, 294.1999)
60	0	Constellation_Andromeda	1	60	Star_Sphere (60)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(0.20073, 48.15315)	(-0.0167275, 0.535035)	400	0.7303653	0.05255099	(266.4883, 14.01713, 297.9723)
61	0	Constellation_Andromeda	1	61	Star_Sphere (61)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.65197, 50.46705)	(0.0290025, 0.560745)	400	0.6899801	6.192071	(253.5526, -23.1663, 308.5034)
62	0	Constellation_Andromeda	1	62	Star_Sphere (62)	0.35	RGBA(1.000, 1.000, 1.000, 1.000)	(23.29629, 48.996)	(0.0586425, 0.5444)	400	0.7156548	6.098955	(258.0034, -48.0773, 301.8655)
63	0	Constellation_Andromeda	1	63	Star_Sphere (63)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.32536, 48.6135)	(0.05622, 0.54015)	400	0.7223307	6.106565	(260.34, -46.46549, 300.1068)
64	0	Constellation_Andromeda	1	64	Star_Sphere (64)	0.4	RGBA(1.000, 1.000, 1.000, 1.000)	(23.20962, 49.3947)	(0.065865, 0.54883)	400	0.7086961	6.076264	(254.7843, -53.48574, 303.6844)
65	0	Constellation_Andromeda	1	65	Star_Sphere (65)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.12901, 49.27815)	(0.0725825, 0.547535)	400	0.7107304	6.055161	(254.2001, -58.98977, 303.1542)
66	0	Constellation_Andromeda	1	66	Star_Sphere (66)	0.4	RGBA(1.000, 1.000, 1.000, 1.000)	(23.06994, 50.0301)	(0.077505, 0.55589)	400	0.6976063	6.039696	(249.3746, -61.94911, 306.5528)
67	0	Constellation_Andromeda	1	67	Star_Sphere (67)	0.4	RGBA(1.000, 1.000, 1.000, 1.000)	(23.1276, 46.36935)	(0.0727, 0.515215)	400	0.7614986	6.054792	(268.8354, -62.49059, 289.5211)
68	0	Constellation_Andromeda	1	68	Star_Sphere (68)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.04327, 42.7383)	(0.0797275, 0.47487)	400	0.8248723	6.032714	(284.6171, -72.81748, 271.4603)
69	0	Constellation_Andromeda	1	69	Star_Sphere (69)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.1744, 43.5375)	(0.0688, 0.48375)	400	0.8109236	6.067044	(283.2225, -62.18759, 275.5317)
70	0	Constellation_Andromeda	1	70	Star_Sphere (70)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.62638, 44.42265)	(0.031135, 0.493585)	400	0.7954748	6.185372	(284.3129, -27.89865, 279.9783)
71	0	Constellation_Andromeda	1	71	Star_Sphere (71)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.45271, 42.93045)	(0.0456075, 0.477005)	400	0.8215187	6.139905	(289.8714, -41.81929, 272.444)
72	0	Constellation_Andromeda	1	72	Star_Sphere (72)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.33049, 42.05025)	(0.0557925, 0.467225)	400	0.836881	6.107908	(292.4721, -51.79517, 267.9128)
73	0	Constellation_Andromeda	1	73	Star_Sphere (73)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.30634, 41.77395)	(0.057805, 0.464155)	400	0.8417034	6.101586	(293.4062, -53.87595, 266.4774)
74	0	Constellation_Andromeda	1	74	Star_Sphere (74)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.52114, 39.2337)	(0.039905, 0.43593)	400	0.8860391	6.15782	(307.3975, -38.74008, 252.994)
75	0	Constellation_Andromeda	1	75	Star_Sphere (75)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.57844, 40.23315)	(0.03513, 0.447035)	400	0.8685954	6.172822	(303.5112, -33.6333, 258.3598)
76	0	Constellation_Andromeda	1	76	Star_Sphere (76)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.34861, 38.1789)	(0.0542825, 0.42421)	400	0.9044488	6.112652	(309.8728, -53.36197, 247.2476)
77	0	Constellation_Andromeda	1	77	Star_Sphere (77)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.82897, 36.42165)	(0.0142525, 0.404685)	400	0.9351186	6.23841	(321.5452, -14.40692, 237.4892)
78	0	Constellation_Andromeda	1	78	Star_Sphere (78)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(23.99184, 33.72165)	(0.00068, 0.374685)	400	0.9822425	6.281049	(332.697, -0.7106604, 222.0635)
79	1	Constellation_Antlia	0	0	Star_Sphere	0.65	RGBA(1.000, 1.000, 1.000, 1.000)	(10.45206, -31.07295)	(-0.871005, -0.345255)	400	2.113122	2.736343	(-314.8547, 135.0712, -206.4517)
80	1	Constellation_Antlia	0	1	Star_Sphere (2)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(9.487531, -35.96625)	(-0.7906275, -0.399625)	400	2.198526	2.48383	(-256.1996, 197.921, -234.9235)
81	1	Constellation_Antlia	0	2	Star_Sphere (3)	0.4	RGBA(1.000, 1.000, 1.000, 1.000)	(10.94433, -37.1592)	(-0.9120275, -0.41288)	400	2.219347	2.865219	(-306.6867, 86.98617, -241.6127)
82	1	Constellation_Antlia	1	3	Star_Sphere (1)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(10.4931, -30.61576)	(-0.8744251, -0.3401751)	400	2.105142	2.747087	(-317.7986, 132.3094, -203.7112)
83	1	Constellation_Antlia	1	4	Star_Sphere (4)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(10.83183, -34.0578)	(-0.9026526, -0.3784201)	400	2.165217	2.835767	(-316.0123, 99.77493, -224.0116)
84	1	Constellation_Antlia	1	5	Star_Sphere (5)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(10.7112, -32.72311)	(-0.8926001, -0.3635901)	400	2.141922	2.804186	(-317.5431, 111.401, -216.2318)
85	1	Constellation_Antlia	1	6	Star_Sphere (6)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(10.39173, -38.0088)	(-0.8659775, -0.4223201)	400	2.234175	2.720549	(-287.6407, 128.8128, -246.313)
86	1	Constellation_Antlia	1	7	Star_Sphere (7)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(10.58604, -39.57706)	(-0.88217, -0.4397451)	400	2.261546	2.771419	(-287.424, 111.5386, -254.8462)
87	1	Constellation_Antlia	1	8	Star_Sphere (8)	0.4	RGBA(1.000, 1.000, 1.000, 1.000)	(9.980611, -35.91315)	(-0.8317176, -0.3990351)	400	2.197599	2.612918	(-279.7342, 163.4034, -234.6233)
88	1	Constellation_Antlia	1	9	Star_Sphere (9)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(9.523711, -35.78446)	(-0.7936426, -0.3976051)	400	2.195353	2.493302	(-258.6557, 195.9345, -233.8951)
89	1	Constellation_Antlia	1	10	Star_Sphere (10)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(9.625112, -36.0999)	(-0.8020926, -0.4011101)	400	2.200859	2.519848	(-262.7146, 188.247, -235.678)
90	1	Constellation_Antlia	1	11	Star_Sphere (11)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(9.824881, -37.20106)	(-0.8187401, -0.4133451)	400	2.220077	2.572148	(-268.3314, 171.7819, -241.8455)
91	1	Constellation_Antlia	1	12	Star_Sphere (12)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(10.22979, -40.33215)	(-0.8524826, -0.448135)	400	2.274725	2.678153	(-272.759, 136.3086, -258.8871)
92	1	Constellation_Antlia	1	13	Star_Sphere (13)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(9.942961, -33.43051)	(-0.8285801, -0.3714501)	400	2.154269	2.603061	(-286.5737, 171.2092, -220.3701)
93	1	Constellation_Antlia	1	14	Star_Sphere (14)	0.4	RGBA(1.000, 1.000, 1.000, 1.000)	(9.7377, -27.7767)	(-0.811475, -0.30863)	400	2.055591	2.549324	(-293.6293, 197.5674, -186.4108)
94	1	Constellation_Antlia	1	15	Star_Sphere (15)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(9.616111, -25.30396)	(-0.8013425, -0.281155)	400	2.012434	2.517492	(-293.4516, 211.3198, -170.9682)
95	1	Constellation_Antlia	1	16	Star_Sphere (16)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(9.49713, -26.5878)	(-0.7914276, -0.2954201)	400	2.034841	2.486343	(-283.6187, 217.9669, -179.0275)
96	1	Constellation_Antlia	1	17	Star_Sphere (17)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(9.619802, -32.18806)	(-0.8016501, -0.3576451)	400	2.132584	2.518458	(-274.8976, 197.5556, -213.0799)
97	1	Constellation_Antlia	1	18	Star_Sphere (18)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(9.511921, -31.8996)	(-0.7926601, -0.35444)	400	2.127549	2.490215	(-270.0588, 205.8876, -211.373)
98	1	Constellation_Antlia	1	19	Star_Sphere (19)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(9.526052, -31.8735)	(-0.7938376, -0.3541501)	400	2.127094	2.493914	(-270.8954, 204.9452, -211.2183)
99	1	Constellation_Antlia	1	20	Star_Sphere (20)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(10.30275, -28.99441)	(-0.8585625, -0.3221601)	400	2.076844	2.697254	(-315.893, 150.3941, -193.8897)
100	1	Constellation_Antlia	1	21	Star_Sphere (21)	0.3	RGBA(1.000, 1.000, 1.000, 1.000)	(11.08179, -35.82496)	(-0.9234826, -0.3980551)	400	2.19606	2.901206	(-314.998, 77.21428, -234.1244)
101	5	Constellation_Ara	0	0	Star_Sphere	1	RGBA(1.000, 1.000, 1.000, 1.000)	(17.53044, -49.88205)	(0.53913, -0.554245)	400	2.441402	4.589458	(-31.60501, -255.8002, -305.8878)
102	5	Constellation_Ara	0	1	Star_Sphere (1)	0.9	RGBA(1.000, 1.000, 1.000, 1.000)	(17.42055, -55.5255)	(0.5482875, -0.61695)	400	2.539899	4.560689	(-34.21558, -223.8155, -329.7513)
103	5	Constellation_Ara	0	2	Star_Sphere (2)	0.8	RGBA(1.000, 1.000, 1.000, 1.000)	(17.42295, -56.3976)	(0.5480875, -0.62664)	400	2.55512	4.561318	(-33.31562, -218.8492, -333.1592)
104	5	Constellation_Ara	0	3	Star_Sphere (3)	0.7	RGBA(1.000, 1.000, 1.000, 1.000)	(17.51883, -60.6825)	(0.5400975, -0.67425)	400	2.629906	4.586419	(-24.60719, -194.3075, -348.7679)
105	5	Constellation_Ara	0	4	Star_Sphere (4)	0.6	RGBA(1.000, 1.000, 1.000, 1.000)	(16.99296, -53.1585)	(0.58392, -0.59065)	400	2.498587	4.448747	(-62.50236, -231.5542, -320.1189)
106	5	Constellation_Ara	0	5	Star_Sphere (5)	0.6	RGBA(1.000, 1.000, 1.000, 1.000)	(16.97667, -55.9782)	(0.5852775, -0.62198)	400	2.5478	4.444482	(-59.24382, -215.8195, -331.5299)
107	5	Constellation_Ara	0	6	Star_Sphere (6)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(16.82835, -59.0472)	(0.5976375, -0.65608)	400	2.601364	4.405652	(-62.12089, -196.1299, -343.0365)
108	5	Constellation_Ara	0	7	Star_Sphere (9)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(17.43066, -50.6277)	(0.547445, -0.56253)	400	2.454417	4.563336	(-37.68112, -250.9293, -309.2162)
109	5	Constellation_Ara	1	8	Star_Sphere (7)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(18.10974, -50.1102)	(0.490855, -0.55678)	400	2.445385	4.741119	(7.368936, -256.4193, -306.9118)
110	5	Constellation_Ara	1	9	Star_Sphere (8)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(17.38593, -47.4804)	(0.5511725, -0.52756)	400	2.399486	4.551626	(-43.27316, -266.8511, -294.8185)
111	5	Constellation_Ara	1	10	Star_Sphere (10)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(17.67306, -49.4217)	(0.527245, -0.54913)	400	2.433368	4.626796	(-22.24359, -259.2421, -303.8071)
112	5	Constellation_Ara	1	11	Star_Sphere (11)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(17.73615, -51.8382)	(0.5219875, -0.57598)	400	2.475544	4.643313	(-17.05871, -246.5643, -314.5077)
113	5	Constellation_Ara	1	12	Star_Sphere (12)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(17.63433, -54.5139)	(0.5304725, -0.60571)	400	2.522243	4.616657	(-22.19528, -231.1389, -325.7026)
114	5	Constellation_Ara	1	13	Star_Sphere (13)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(17.59365, -46.5192)	(0.5338625, -0.51688)	400	2.38271	4.606007	(-29.22584, -273.6886, -290.242)
115	5	Constellation_Ara	1	14	Star_Sphere (14)	0.5	RGBA(1.000, 1.000, 1.000, 1.000)	(17.05188, -53.244)	(0.57901, -0.5916)	400	2.500079	4.464172	(-58.80587, -232.0274, -320.4765)
116	5	Constellation_Ara	1	15	Star_Sphere (15)	0.35	RGBA(1.000, 1.000, 1.000, 1.000)	(17.38362, -56.53755)	(0.551365, -0.628195)	400	2.557563	4.551021	(-35.43641, -217.6908, -333.699)
